Carregando closes (756d) de 37 tickers...
LREN3-MGLU3        0.6982    1.015      n/a         no         no
LREN3-PETZ3        0.0923    3.478      n/a         no        YES
LREN3-RENT3        0.4052    0.311      n/a         no         no
MGLU3-PETZ3        0.6652    2.880      n/a         no         no
MGLU3-RENT3        0.3963    0.283      n/a         no         no
PETZ3-RENT3        0.3937    0.088      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
AMER3-LREN3        0.0002    9.874     30.3        YES        YES
AMER3-MGLU3        0.0000    8.253     28.2        YES        YES
AMER3-PETZ3        0.0001   32.992     29.4        YES        YES
AMER3-RENT3        0.0001    2.897     29.4        YES        YES
LREN3-MGLU3        0.6508    0.609      n/a         no         no
LREN3-PETZ3        0.2086    3.005      n/a         no         no
LREN3-RENT3        0.5622    0.286      n/a         no         no
MGLU3-PETZ3        0.5555    4.151      n/a         no         no
MGLU3-RENT3        0.2605    0.400      n/a         no         no
PETZ3-RENT3        0.1405    0.094      n/a         no         no

## ALIMENTOS — 3 tickers, 3 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
BRFS3-JBSS3        0.4894    0.543      n/a         no         no
BRFS3-MRFG3        0.6701    0.979      n/a         no         no
JBSS3-MRFG3        0.2892    1.802      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
BRFS3-JBSS3        0.4897    0.585      n/a         no         no
BRFS3-MRFG3        0.8409    1.089      n/a         no         no
JBSS3-MRFG3        0.0376    1.863     24.3        YES        YES

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
BRFS3-JBSS3        0.4372    0.516      n/a         no         no
BRFS3-MRFG3        0.7270    1.079      n/a         no         no
JBSS3-MRFG3        0.2088    2.002      n/a         no         no

## TELECOM — 2 tickers, 1 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
TIMS3-VIVT3        0.8072    0.440      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
TIMS3-VIVT3        0.9489    0.381      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
TIMS3-VIVT3        0.9746    0.367      n/a         no         no

## SANEAMENTO — 2 tickers, 1 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
SAPR11-SBSP3        0.4598    0.284      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
SAPR11-SBSP3        0.4694    0.297      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
SAPR11-SBSP3        0.4628    0.302      n/a         no         no

## EDUCACAO — 2 tickers, 1 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
COGN3-YDUQ3        0.9907    0.186      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
COGN3-YDUQ3        0.9971    0.158      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
COGN3-YDUQ3        0.9675    0.160      n/a         no         no

## ENERGIA — 4 tickers, 6 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
CMIG4-ENGI11       0.9035    0.243      n/a         no         no
CMIG4-EQTL3        0.6866    0.315      n/a         no         no
CMIG4-TAEE11       0.4326    0.307      n/a         no         no
ENGI11-EQTL3        0.9367    1.293      n/a         no         no
ENGI11-TAEE11       0.8727    1.251      n/a         no         no
EQTL3-TAEE11       0.6340    0.969      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
CMIG4-ENGI11       0.6728    0.222      n/a         no         no
CMIG4-EQTL3        0.5144    0.297      n/a         no         no
CMIG4-TAEE11       0.5780    0.279      n/a         no         no
ENGI11-EQTL3        0.3162    1.331      n/a         no         no
ENGI11-TAEE11       0.3804    1.247      n/a         no         no
EQTL3-TAEE11       0.4692    0.936      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
CMIG4-ENGI11       0.5249    0.212      n/a         no         no
CMIG4-EQTL3        0.4723    0.288      n/a         no         no
CMIG4-TAEE11       0.4016    0.253      n/a         no         no
ENGI11-EQTL3        0.3132    1.350      n/a         no         no
ENGI11-TAEE11       0.4344    1.195      n/a         no         no
